fhorgid,fhorgname,fhorgtype,status,createdby,createddate,updatedby,lastupdateddate,fhdeptindagencyorgid,fhagencyorgname,agencycode,cgaclist/0/cgac,fhorgnamehistory/0/fhorgname,fhorgnamehistory/0/effectivedate,fhorgparenthistory/0/fhfullparentpathid,fhorgparenthistory/0/fhfullparentpathname,fhorgparenthistory/0/effectivedate,links/0/rel,links/0/href,links/0/hreflang,links/0/media,links/0/title,links/0/type,links/0/deprecation,links/1/rel,links/1/href,links/1/hreflang,links/1/media,links/1/title,links/1/type,links/1/deprecation,oldfpdsofficecode,cgaclist/1/cgac,cgaclist/2/cgac,cgaclist/3/cgac,cgaclist/4/cgac
300000057,ADMINISTRATIVE CONFERENCE OF THE U. S.,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-09-14 18:41,300000057,ADMINISTRATIVE CONFERENCE OF THE U S,9515,302,ADMINISTRATIVE CONFERENCE OF THE U. S.,1978-10-15 00:00,300000057,ADMINISTRATIVE CONFERENCE OF THE U S,1978-10-15 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000057,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000057,,,,,,,,,,
300000015,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000015,ADMINISTRATIVE OFFICE OF THE US COURTS,1027,010,ADMINISTRATIVE OFFICE OF THE U.S. COURTS,1957-07-01 00:00,300000015,ADMINISTRATIVE OFFICE OF THE US COURTS,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000015,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000015,,,,,,,,,,
300000063,ADVISORY COUNCIL ON HISTORIC PRESERVATION,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-09-14 18:41,300000063,ADVISORY COUNCIL ON HISTORIC PRESERVATION,9530,306,ADVISORY COUNCIL ON HISTORIC PRESERVATION,1998-01-01 00:00,300000063,ADVISORY COUNCIL ON HISTORIC PRESERVATION,1998-01-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000063,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000063,,,,,,,,,,
100148640,AGENCY FOR INTERNATIONAL DEVELOPMENT,Department/Ind. Agency,ACTIVE,,2005-07-21 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100148640,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200,072,AGENCY FOR INTERNATIONAL DEVELOPMENT,1957-07-01 00:00,100148640,AGENCY FOR INTERNATIONAL DEVELOPMENT,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100148640,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100148640,,,,,,7200,,,,
100006809,"AGRICULTURE, DEPARTMENT OF",Department/Ind. Agency,ACTIVE,,2003-04-28 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100006809,"AGRICULTURE, DEPARTMENT OF",1200,012,"AGRICULTURE, DEPARTMENT OF",1957-07-01 00:00,100006809,"AGRICULTURE, DEPARTMENT OF",1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100006809,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100006809,,,,,,1200,,,,
300000042,AMERICAN BATTLE MONUMENTS COMMISSION,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000042,AMERICAN BATTLE MONUMENTS COMMISSION,7400,074,AMERICAN BATTLE MONUMENTS COMMISSION,1957-07-01 00:00,300000042,AMERICAN BATTLE MONUMENTS COMMISSION,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000042,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000042,,,,,,,,,,
300000713,APPALACHIAN REGIONAL COMMISSION,Department/Ind. Agency,ACTIVE,DATA TEAM,2017-12-11 15:45,FPDS_START_DATE_FIX,2019-09-14 18:41,300000713,APPALACHIAN REGIONAL COMMISSION,4602,309,APPALACHIAN REGIONAL COMMISSION,2002-01-01 00:00,300000713,APPALACHIAN REGIONAL COMMISSION,2002-01-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000713,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000713,,,,,,,,,,
300000004,ARCHITECT OF THE CAPITOL,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-09-14 18:41,300000004,ARCHITECT OF THE CAPITOL,0100,001,ARCHITECT OF THE CAPITOL,2002-01-01 00:00,300000004,ARCHITECT OF THE CAPITOL,2002-01-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000004,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000004,,,,,,,,,,
100114157,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Department/Ind. Agency,ACTIVE,,2010-03-29 00:00,FPDS_START_DATE_FIX,2019-11-21 23:04,100114157,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,9532,310,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,1957-07-01 00:00,100114157,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100114157,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100114157,,,,,,9532,,,,
300000046,ARMED FORCES RETIREMENT HOME,Department/Ind. Agency,ACTIVE,IAE_DATA_TEAM,2017-10-05 12:35,FPDS_START_DATE_FIX,2019-11-21 23:04,300000046,ARMED FORCES RETIREMENT HOME,84AF,084,ARMED FORCES RETIREMENT HOME,1957-07-01 00:00,300000046,ARMED FORCES RETIREMENT HOME,1957-07-01 00:00,self,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000046,,,,,,nextlevelchildren,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000046,,,,,,,,,,
